"logFC","logCPM","LR","PValue","FDR","gene","avg_log2FC"
0.701217053222474,8.99327060680159,11.8608619044471,0.000573260068349942,0.0281338402774818,"KLHL18",0.701217053222474
0.438115902232191,9.53154264515694,11.8443757396633,0.000578357607047621,0.0281673399462887,"PNISR",0.438115902232191
0.531640844429972,10.3308589901385,11.7969046125695,0.000593292834744696,0.0286758203459937,"ITGA11",0.531640844429972
-0.717515365927026,8.99172174095876,11.7376617011512,0.000612479266185244,0.0293501324920394,"RIOK1",-0.717515365927026
0.489125410390685,9.655445995934,11.7256510627224,0.000616444789017756,0.0293501324920394,"RASSF8",0.489125410390685
-0.731451597225337,8.97419510546158,11.706064303629,0.000622967400374791,0.029440977884379,"TCEA3",-0.731451597225337
-0.477824441268375,9.60543821051928,11.676562961321,0.000632923480564051,0.0296915573970489,"FBXO11",-0.477824441268375
-0.71921613584353,9.07046311524473,11.6456364428667,0.000643533126266498,0.0299689149312428,"FNTA",-0.71921613584353
0.757712384077294,8.99981763422751,11.605515293877,0.000657565242148127,0.0304004800355438,"LINC02615",0.757712384077294
-0.52092553302083,9.38692835930303,11.5811294631541,0.000666244626298586,0.0305525312172519,"SMCHD1",-0.52092553302083
0.337425987832979,11.2006194843037,11.5694797962819,0.000670431719500826,0.0305525312172519,"MEF2A",0.337425987832979
-0.846121250097408,8.98420784696069,11.5195820622401,0.00068866871004131,0.0311610380855572,"SFMBT2",-0.846121250097408
-0.691928828776679,9.40795677179828,11.4950146506665,0.000697831082844483,0.0311747045285186,"AEBP1",-0.691928828776679
0.722926446793464,8.99386498885064,11.4925863421612,0.000698743377363349,0.0311747045285186,"TMEM67",0.722926446793464
-0.809971839713282,9.14410327962261,11.4756886589445,0.000705125142411951,0.0312409611707517,"TET3",-0.809971839713282
-0.71538107655354,9.11261408381325,11.4381348177658,0.000719519805784379,0.0316588714545127,"ADAM9",-0.71538107655354
-0.714482553641339,8.9922585991935,11.414055887362,0.000728905283804304,0.0318521624018593,"ABHD12",-0.714482553641339
0.722419497403203,9.03024121114723,11.315000728031,0.000768834310347786,0.0333000432552915,"MOB4",0.722419497403203
1.04908228974154,9.1943759575968,11.3062230104139,0.000772477492442498,0.0333000432552915,"EREG",1.04908228974154
0.538457561471219,10.1357631721072,11.2935072461778,0.000777786119854453,0.0333038620447745,"MIR99AHG",0.538457561471219
0.762177862057695,9.11833160098138,11.2432317323517,0.000799138900267556,0.0339856072397475,"ARHGAP44",0.762177862057695
-0.527460344723687,9.49371878022966,11.2311415467996,0.000804361550658601,0.0339856072397475,"RBPMS",-0.527460344723687
-0.667852011878077,9.10015410837548,11.1755180154631,0.000828837511038056,0.03478936395015,"TMEM245",-0.667852011878077
-0.687127964999105,9.14774941849042,11.1434088308031,0.000843307780103789,0.0351600571281979,"METTL25",-0.687127964999105
